review_id,review_text,true_sentiment,predicted_sentiment,confidence,aspects,num_aspects,battery_sentiment,battery_confidence,performance_sentiment,performance_confidence,design_sentiment,design_confidence,audio_sentiment,audio_confidence,durability_sentiment,durability_confidence,camera_sentiment,camera_confidence,screen_sentiment,screen_confidence,price_sentiment,price_confidence,signal_sentiment,signal_confidence,storage_sentiment,storage_confidence
12,i bought myself the note 6 back in january and so far i have had a great experienced with my phone. no issues. everything works just fine. battery life is amazing. last week i purchased another one fo,Positive,Positive,0.9990118741989136,"['battery', 'performance', 'durability']",3,Negative,0.996547281742096,Positive,0.9973331689834595,,,,,Positive,0.8740485310554504,,,,,,,,,,
13,great phone @ great price.,Positive,Positive,0.9980273842811584,['price'],1,,,,,,,,,,,,,,,Positive,0.9980424642562866,,,,
14,the part was broken.,Negative,Negative,0.9764117002487183,['durability'],1,,,,,,,,,Negative,0.9778724908828735,,,,,,,,,,
15,the gps does not work. the microphone is garbage. worst purchase ever.,Negative,Negative,0.9970914125442505,"['performance', 'signal']",2,,,Negative,0.9844963550567627,,,,,,,,,,,,,Negative,0.9844963550567627,,
16,i really like it,Positive,Positive,0.9963775277137756,[],0,,,,,,,,,,,,,,,,,,,,
17,"i had such high hopes for this phone. it is the most absurdly slippery phone if you do not have it in the case. the way the phone is made, it is much easier to crack the screen than any other phone i ",Negative,Negative,0.9911422729492188,"['screen', 'performance', 'durability']",3,,,Positive,0.45966899394989014,,,,,Negative,0.9781991243362427,,,Negative,0.9641950726509094,,,,,,
18,best android phone i ever had!!!,Positive,Positive,0.9981960654258728,[],0,,,,,,,,,,,,,,,,,,,,
19,"cumple con los requisitos que promete, el teléfono venía en muy buen estado (tengo la versión jetblack de 128 gb) la pantalla sin ningún rayón y la parte trasera en muy buen estado con un poquito de d",Positive,Positive,0.9975807666778564,['storage'],1,,,,,,,,,,,,,,,,,,,Positive,0.9975807666778564
20,"encantado con este móvil, busque y vi muchos unboxing y creo que fue mi mejor opción.",Positive,Positive,0.9985093474388123,[],0,,,,,,,,,,,,,,,,,,,,
21,"the product arrived earlier than expected, good condition, works well.",Positive,Positive,0.9983776807785034,['performance'],1,,,Positive,0.998364269733429,,,,,,,,,,,,,,,,
22,"i actually ""downgraded"" from a galaxy s9 due to a year of problems with call reception/quality. the top tech sites all had the same basic complaint with this phone, which was just that you can get a o",Positive,Positive,0.47527363896369934,"['battery', 'screen', 'camera', 'performance', 'design', 'price', 'audio', 'durability', 'signal']",9,Positive,0.9774551391601562,Negative,0.9585111737251282,Neutral,0.9959402084350586,Positive,0.9774551391601562,Negative,0.7552308440208435,Negative,0.9817647933959961,Neutral,0.9899703860282898,Positive,0.9610211849212646,Positive,0.5721036195755005,,
23,the phone is great but you had to buy a 2 year contract with sprint. i normally like sprint but when i tried to change carriers i found out that the phone was locked by sprint and after 6 days of call,Neutral,Negative,0.895015299320221,"['battery', 'design']",2,Negative,0.9888830780982971,,,Negative,0.8340637683868408,,,,,,,,,,,,,,
24,it only saved half of my friend's contacts from his original phone.,Negative,Positive,0.7160398960113525,[],0,,,,,,,,,,,,,,,,,,,,
25,"this phone was not unlocked, unable to unlock it. useless.",Negative,Negative,0.9964897036552429,[],0,,,,,,,,,,,,,,,,,,,,
26,"i had two issues with the phone causing me to return it. 1) battery drained very quickly. approximately 20% in an hour with the phone over heating, 2) struggled to get cell signal(at&t). phone feels g",Neutral,Positive,0.9887397885322571,"['battery', 'screen', 'performance', 'design', 'signal']",5,Negative,0.9598298668861389,Negative,0.9967089891433716,Negative,0.9854894280433655,,,,,,,Positive,0.9983465671539307,,,Negative,0.9734266400337219,,
27,best starter smartphone. does everything i need it to do without making it too complicated.,Positive,Positive,0.9984543323516846,[],0,,,,,,,,,,,,,,,,,,,,
28,this phone is not unlocked. it is locked with sprint. i tried with verizon and tmobile i kept getting uicc error for sprint. please do not trust the description here.,Negative,Negative,0.996100902557373,[],0,,,,,,,,,,,,,,,,,,,,
29,charge a cell in very good condition but is good.,Positive,Positive,0.968531608581543,['battery'],1,Positive,0.9836263060569763,,,,,,,,,,,,,,,,,,
30,"the phone's sound quality is excellent. sound is very distinct, much better than most small phones that i have used. it is also a handsome, easy-to-hold phone that has great sound for a small phone. a",Positive,Positive,0.9981217980384827,"['screen', 'camera', 'design', 'audio', 'durability']",5,,,,,Positive,0.9955936074256897,Positive,0.9982669353485107,Positive,0.9946078062057495,Positive,0.9946078062057495,Positive,0.9984676241874695,,,,,,
31,charger getting hot at the time of charging,Positive,Neutral,0.4280471205711365,['battery'],1,Neutral,0.4280471205711365,,,,,,,,,,,,,,,,,,
32,really good phone.,Positive,Positive,0.9979767203330994,[],0,,,,,,,,,,,,,,,,,,,,
33,fast delivery by technomaster!,Positive,Positive,0.9985337257385254,['performance'],1,,,Positive,0.9981163740158081,,,,,,,,,,,,,,,,
34,the random charger it came with is not the turbo charger that is recommended for turbo battery phones! phone is refurbished clearly been dropped hard on one edge with some scarring.box had no packing ,Negative,Negative,0.989694356918335,"['battery', 'durability']",2,Neutral,0.5914225578308105,,,,,,,Negative,0.9919941425323486,,,,,,,,,,
35,"this is pretty great for $200. battery last about a day and half, as other reviewers wrote. speedy, 32 gig is plenty of memory. let us just stop with the $600 phones. no phone is built to last more th",Positive,Positive,0.9854106903076172,"['battery', 'performance', 'design', 'durability']",4,Neutral,0.5604755878448486,Positive,0.9809122085571289,Positive,0.9968967437744141,,,Neutral,0.5604755878448486,,,,,,,,,,
36,was hoping to use music for ring tones but didnt work the way an android works but by far a better security dydtem on an iphone.,Positive,Positive,0.9684404730796814,"['performance', 'audio']",2,,,Positive,0.9406819939613342,,,Positive,0.9406819939613342,,,,,,,,,,,,
37,i am impressed every day.,Positive,Positive,0.9974442720413208,['battery'],1,Positive,0.9974512457847595,,,,,,,,,,,,,,,,,,
38,satisfacción con la compra.,Positive,Positive,0.995426595211029,[],0,,,,,,,,,,,,,,,,,,,,
39,"the operating system""w10"" is remarkable. the telephone aesthetics are not great but the characteristics and performance are.",Positive,Positive,0.9954002499580383,['performance'],1,,,Negative,0.9461706280708313,,,,,,,,,,,,,,,,
40,perfect for my 10 year old. she loves it. works perfectly.,Positive,Positive,0.9985743761062622,['performance'],1,,,Positive,0.9983465671539307,,,,,,,,,,,,,,,,
41,"i really loved the phone, but had to return it because it did not work with my samsung wearable earphones. the phone screen would black out and flash on and off whenever i took the earphones out of th",Positive,Neutral,0.7070040702819824,"['screen', 'camera', 'performance', 'durability', 'signal']",5,,,Positive,0.9701569676399231,,,,,Negative,0.9404774904251099,Negative,0.9404774904251099,Negative,0.9404774904251099,,,Negative,0.9143435955047607,,
42,im having problems because the phone is unresponsive at times screen and buttons,Neutral,Negative,0.9325584173202515,['screen'],1,,,,,,,,,,,,,Negative,0.9325584173202515,,,,,,
43,works great! very happy with purchase. i’ve had it for several months now just to make sure the battery is still charging before leaving a review. couldn’t be happier.,Positive,Positive,0.9987388253211975,"['battery', 'performance']",2,Positive,0.5163806080818176,Positive,0.997650682926178,,,,,,,,,,,,,,,,
44,must be the best phone about. brilliant resolution on the screen and a lightening fast processor. so much better than my previous s5,Positive,Positive,0.9986609220504761,"['screen', 'performance']",2,,,Positive,0.9966642260551453,,,,,,,,,Positive,0.9966642260551453,,,,,,
45,i had to return the device because the sim card reader did not work,Negative,Negative,0.47726970911026,['performance'],1,,,Negative,0.47726970911026,,,,,,,,,,,,,,,,
46,the note 8 pen cannot remove it & got some scratch back & front ~ please do not buy from cr land. i repeat the note 8 pen cannot remove it. ~ please see the attachment as proof ~,Negative,Negative,0.9523845911026001,['durability'],1,,,,,,,,,Negative,0.9362556338310242,,,,,,,,,,
47,para el precio que tiene es excelente aunque la pantalla pudo tener más calidad,Positive,Positive,0.9979202151298523,[],0,,,,,,,,,,,,,,,,,,,,
48,global roaming was not unlocked had to returnphone,Negative,Negative,0.970493733882904,[],0,,,,,,,,,,,,,,,,,,,,
49,"this phone would not activate on the sprint network. does not appear to be fully unlocked, despite what it says in the description.",Negative,Negative,0.9936414361000061,['signal'],1,,,,,,,,,,,,,,,,,Negative,0.9899019002914429,,
50,"the phone is great. the condition was not. ""certified to look and act like new"". i don’t think so. more like scratch and dent, which is how it came. had to immediately get the battery replaced. but, i",Neutral,Neutral,0.8521742224693298,"['battery', 'performance', 'design', 'durability']",4,Negative,0.9003583192825317,Neutral,0.5666345953941345,Positive,0.9952641725540161,,,Negative,0.9565205574035645,,,,,,,,,,
51,what does renewed mean?,Positive,Positive,0.8715361952781677,[],0,,,,,,,,,,,,,,,,,,,,
52,arrived on time. works as it should.,Positive,Positive,0.9984732270240784,['performance'],1,,,Positive,0.9975270628929138,,,,,,,,,,,,,,,,
53,the biggest mistake i made.,Neutral,Negative,0.9951260685920715,[],0,,,,,,,,,,,,,,,,,,,,
54,i have been only taking this supplement for two months. what i can say it is that my skin does not have bad break outs any more and my lashes and eye brows are fuller. but that is it i have not notice,Negative,Positive,0.9856438636779785,['durability'],1,,,,,,,,,Negative,0.995577335357666,,,,,,,,,,
55,this samsung 10+ came to me practically new. there was not any wear and tear at all. i inserted my sim card and sd card from my samsung 7 edge. it started right up reading my verizon sim card. i trans,Positive,Positive,0.9991173148155212,"['signal', 'storage']",2,,,,,,,,,,,,,,,,,Positive,0.9981839060783386,Positive,0.9043667912483215
56,what an amazing phone? with this price you will be buying the best phone i think. no need to pay a thousand dollars. it has the same features.,Positive,Positive,0.9988383650779724,['price'],1,,,,,,,,,,,,,,,Positive,0.9981868863105774,,,,
57,so far so good. no problems,Positive,Positive,0.9974358677864075,[],0,,,,,,,,,,,,,,,,,,,,
58,remarkable phone that cannot be beat at this price point. ive had it for a couple days now and it is flawless.,Positive,Positive,0.9989444613456726,"['battery', 'price']",2,Positive,0.9972309470176697,,,,,,,,,,,,,Positive,0.998665452003479,,,,
59,"i purchased this in dec. 2018 after reading several rave reviews. it is been a huge disappointment, and i would not recommend it for anyone. the biggest problems are: 1) i cannot hear anyone speak on ",Negative,Negative,0.9948086142539978,"['screen', 'performance', 'audio', 'signal']",4,,,Negative,0.9589655995368958,,,Negative,0.9396565556526184,,,,,Negative,0.9023009538650513,,,Negative,0.9233055710792542,,
60,"i received this phone on oct. 29th it is now nov. 5, i have had this phone 8 days!!! at first all seamed well, the exterior looked brand new, set up with firstnet (at&t's service for firefighters) wen",Negative,Negative,0.9065396785736084,"['battery', 'screen', 'performance', 'durability', 'signal']",5,Negative,0.902115523815155,Negative,0.7286071181297302,,,,,Positive,0.9915614724159241,,,Negative,0.968499481678009,,,Positive,0.49161410331726074,,
61,easy to use,Positive,Positive,0.9970598816871643,[],0,,,,,,,,,,,,,,,,,,,,
62,the charger provided was eu and not us. there was no sd card provided with the phone as suggested in the description of the product.,Negative,Negative,0.8032369017601013,"['battery', 'storage']",2,Neutral,0.38599732518196106,,,,,,,,,,,,,,,,,Negative,0.8730721473693848
63,great phone. highly recommend.,Positive,Positive,0.9983059167861938,[],0,,,,,,,,,,,,,,,,,,,,
64,daughter's christmas gift,Positive,Positive,0.995177149772644,[],0,,,,,,,,,,,,,,,,,,,,
65,best phone ever i loved...........,Positive,Positive,0.9977872371673584,[],0,,,,,,,,,,,,,,,,,,,,
66,second phone the first lasted about 3 yeasr before i dropped it face down on a tiled floor and cracked the screen. it still worked and the battery was getting tired. $50 brand new cool and pisses andr,Positive,Positive,0.9940524697303772,"['battery', 'screen', 'camera', 'performance', 'design', 'price', 'audio', 'durability', 'storage']",9,Neutral,0.4832502603530884,Positive,0.9911734461784363,Positive,0.9897654056549072,Positive,0.9870176911354065,Positive,0.7093505859375,Positive,0.9870176911354065,Positive,0.9543672204017639,Positive,0.9842743277549744,,,Positive,0.9792263507843018
67,"i. love. this. phone. my husband says that i cannot manage to have a cell phone without problems, so he bought me this sony. i had never heard of a sony cell phone, but i own many other sony products ",Positive,Positive,0.9985465407371521,"['battery', 'screen', 'camera', 'performance', 'design', 'audio', 'durability', 'storage']",8,Positive,0.9895428419113159,Negative,0.9987844824790955,Negative,0.9982049465179443,Positive,0.9979842901229858,Positive,0.9988670349121094,Negative,0.9988177418708801,Positive,0.9963372945785522,,,,,Positive,0.9959704875946045
68,"pros:nfc,wifi calling, full screen,samsung brand,&volte . cons: gps does not work verdict: return..😒",Negative,Negative,0.48016679286956787,"['screen', 'performance', 'signal', 'storage']",4,,,Negative,0.977712869644165,,,,,,,,,Positive,0.9947577118873596,,,Negative,0.6141095161437988,Positive,0.9947577118873596
69,"i love my new phone! it is fast and gives me more capability i could have imagined. the camera is great, the processor is super fast. i love streaming on my new phone. it is easy to use and has a myri",Positive,Positive,0.9988225102424622,"['camera', 'performance']",2,,,Positive,0.9978054165840149,,,,,,,Positive,0.9974499344825745,,,,,,,,
70,very satisfied with the purchase. as good as its rivals which are 2x the price.,Positive,Positive,0.9980453252792358,['price'],1,,,,,,,,,,,,,,,Positive,0.9956846237182617,,,,
71,"hi.. i would like to ask there is no free head seat for this cellphone, actually the cellphone so nice and fast but only thing is no free head seat inside the box. i ask asking if this cellphone have ",Positive,Positive,0.8829118609428406,['performance'],1,,,Positive,0.9635933041572571,,,,,,,,,,,,,,,,
72,"this phone was sent out, the rear cover was damaged in shipping. i offered to replace rear cover myself. they sent it to me immediately. huge mistake, design makes rear panel completely integrated int",Positive,Positive,0.7883750796318054,"['performance', 'design', 'durability', 'signal']",4,,,Negative,0.9952670335769653,Negative,0.9952670335769653,,,Negative,0.9916728138923645,,,,,,,Positive,0.9987917542457581,,
73,cannot beat the price and amazing phone with great features.,Positive,Positive,0.9986845850944519,['price'],1,,,,,,,,,,,,,,,Negative,0.9987038373947144,,,,
74,the lumia 928 has a great form factor in size and weight. the windows 8.1 os has all the apps i need to get stuff done. i’d give the phone 5 stars except for the fact that i need to soft re-boot the t,Neutral,Neutral,0.8067403435707092,"['battery', 'screen', 'performance', 'design']",4,Positive,0.6291451454162598,Negative,0.6510527729988098,Negative,0.7194845080375671,,,,,,,Negative,0.9381981492042542,,,,,,
75,"pleasantly surprised, very well working phone, definately a lot of value for the money.",Positive,Positive,0.9989445805549622,['price'],1,,,,,,,,,,,,,,,Positive,0.9989498257637024,,,,
76,the cell is in perfect conditions. im using it in central america with the local provider without problems,Positive,Positive,0.9987342953681946,[],0,,,,,,,,,,,,,,,,,,,,
77,very good phone...buy it...,Positive,Positive,0.9981269240379333,[],0,,,,,,,,,,,,,,,,,,,,
78,actually the phone that arrived worked fine at first but during the first week developed a problem with the screen. a greater and greater area of the screen became unusable. it would not accept touch ,Positive,Negative,0.4520072042942047,['screen'],1,,,,,,,,,,,,,Negative,0.902302086353302,,,,,,
79,do not buy. black screen after only 1 month,Negative,Negative,0.9957002401351929,['screen'],1,,,,,,,,,,,,,Negative,0.8739481568336487,,,,,,
80,"its been about 2 weeks since my purchase. i am getting serious and progressively worsening cracking and static during calls. i am not able to put phone to my ear. it is perfect apart from that, but it",Negative,Negative,0.9805442690849304,['signal'],1,,,,,,,,,,,,,,,,,Negative,0.9880167245864868,,
81,"got the phone for my son, never dropped it but stopped working around 30 days. the phone will not start at all. we most likely just got a lemon, but did not want to take another chance with it again",Negative,Negative,0.9904472827911377,"['battery', 'durability']",2,Negative,0.9659942388534546,,,,,,,Negative,0.9659942388534546,,,,,,,,,,
82,the cell phone is the same as my wife's phone.,Positive,Positive,0.9211298823356628,[],0,,,,,,,,,,,,,,,,,,,,
83,excelente funciona perfectamente bien no tuve ningún problema y sin ningún rasguño,Positive,Positive,0.9982420206069946,[],0,,,,,,,,,,,,,,,,,,,,
84,it a really good cellphone for this price. it is really really fast and work awesome. the only thing they must improve it screen fingerprint sensor sometimes do not work as expected and it is not as f,Positive,Positive,0.996182382106781,"['screen', 'performance', 'price']",3,,,Positive,0.9966421127319336,,,,,,,,,Positive,0.8932274580001831,Positive,0.9973356127738953,,,,
85,right out of the box the camera does not work. warranty is only valid in the uae. not honored in the usa.,Negative,Negative,0.9931291937828064,"['camera', 'performance', 'price']",3,,,Negative,0.9886857271194458,,,,,,,Negative,0.9886857271194458,,,Negative,0.6314908862113953,,,,
86,listen these refurbished phones is like a huge gamble of am i going to waste a week of time on air or maybe ill get a new phone. mine came as the wrong provider and sure you could land upon one that w,Negative,Negative,0.9924010038375854,"['battery', 'performance', 'audio']",3,Negative,0.9565401077270508,Negative,0.9565401077270508,,,Negative,0.993686854839325,,,,,,,,,,,,
87,"i ordered a galaxy s8 active said to be in good condition. it is exterior seemed fine. not long after getting it, it popped up errors saying ""no sim card"". after restarting, error would be gone. i fig",Negative,Negative,0.9951573014259338,['price'],1,,,,,,,,,,,,,,,Negative,0.9941502213478088,,,,
88,"i bought black onyx, and i think this is not it. at least it seems ok, though. got it just today, was traveling abroad and just got home.. lets see.. rating 1 star 'cuz i really didnt want this ugly c",Negative,Neutral,0.573832094669342,"['screen', 'design']",2,,,,,Neutral,0.5735591650009155,,,,,,,Neutral,0.5735591650009155,,,,,,
89,so far i am very pleased with this samsung note 8. i upgrade from samsung galaxy s7 edge. i recieved the phone yesterday (12/18/19) and i was able to set it up without any issues (i have service with ,Positive,Positive,0.9986282587051392,"['performance', 'signal']",2,,,Positive,0.9990198612213135,,,,,,,,,,,,,Positive,0.9986503720283508,,
90,nice phone very good,Positive,Positive,0.9978424310684204,[],0,,,,,,,,,,,,,,,,,,,,
91,very good phone,Positive,Positive,0.9979913234710693,[],0,,,,,,,,,,,,,,,,,,,,
92,"huawei p30 overall beats other brand phones. half price, double functions, triple qualities. there is no reason do not use it!",Positive,Positive,0.994186520576477,['price'],1,,,,,,,,,,,,,,,Positive,0.992034375667572,,,,
93,this phone is the best phone i have used. it is more than i was expecting. this truely a fantastic phone.,Positive,Positive,0.9988848567008972,[],0,,,,,,,,,,,,,,,,,,,,
94,es un móvil increíble me ha dejado satisfecho.,Positive,Positive,0.9982948899269104,[],0,,,,,,,,,,,,,,,,,,,,
95,the antenna has issues poor signal strength,Positive,Negative,0.9554483294487,['signal'],1,,,,,,,,,,,,,,,,,Negative,0.9554483294487,,
96,"this is the best phone i have bought used. 3 years and counting still using it in 2018. very fast, does not feel cheap like all of the older motorola phones were. very recommended to anyone looking fo",Positive,Positive,0.998918890953064,"['battery', 'performance', 'design', 'price', 'durability']",5,Positive,0.9445191621780396,Positive,0.997461199760437,Positive,0.9969327449798584,,,Positive,0.9983186721801758,,,,,Positive,0.9969327449798584,,,,
97,good price and good performance,Positive,Positive,0.9949408769607544,"['performance', 'price']",2,,,Positive,0.9949408769607544,,,,,,,,,,,Positive,0.9949408769607544,,,,
98,a good phone. good amount of memory. works well.,Positive,Positive,0.9939104318618774,['performance'],1,,,Positive,0.9940826296806335,,,,,,,,,,,,,,,,
99,"this phone still had the contacts, text messages, and pictures. it was not anything to delete them, one would just expect that stuff to be done. phones good.",Positive,Positive,0.9859330058097839,['camera'],1,,,,,,,,,,,Positive,0.991393506526947,,,,,,,,
100,"i like that this seller got back to me promptly with any messages. the english is a little broken, but do not let that scare you. they offered me an extended warranty for longer than the amazon 3 mont",Positive,Positive,0.9987010955810547,"['screen', 'design', 'price', 'durability', 'signal', 'storage']",6,,,,,Positive,0.9984014630317688,,,Negative,0.6661728620529175,,,Positive,0.9984014630317688,Positive,0.9981710910797119,Positive,0.9981710910797119,Positive,0.9984014630317688
101,for $186 this phone is fantastic. update removing stars after several months with this phone there is something so annoying because it cannot be avoided - xiaomi sold ad space in their ui of android. ,Neutral,Negative,0.75367271900177,"['performance', 'storage']",2,,,Positive,0.960468053817749,,,,,,,,,,,,,,,Negative,0.9694305658340454
102,its a great price for a very good phone. i f you have not had a windows phone it may take a few days to get used to but once you do it functions really well.,Positive,Positive,0.9975194334983826,"['battery', 'price']",2,Positive,0.9933331608772278,,,,,,,,,,,,,Positive,0.9980800151824951,,,,
103,"do not buy for verizon plan. reviews say it works with verizon, you just have to toggle ""cdma-less roaming."" so i did that and lost almost all coverage at my home and a cabin i visit. will not send sm",Negative,Negative,0.9964246153831482,"['performance', 'durability', 'signal']",3,,,Positive,0.8506486415863037,,,,,Negative,0.9637820720672607,,,,,,,Negative,0.9717029929161072,,
104,it is my first luxury cellphone. nice three lenses camera phone. take 3d picture. it is a1 smart camera phone. i focus it on flowers. it knows. i focus it on salad. it knows it is food. and automatica,Positive,Positive,0.9961861968040466,"['screen', 'camera', 'design']",3,,,,,Positive,0.9505289196968079,,,,,Positive,0.9798879623413086,Positive,0.9901152849197388,,,,,,
105,it is a scam. comes locked and cannot activate,Negative,Negative,0.9966481328010559,[],0,,,,,,,,,,,,,,,,,,,,
106,i loveeeee this phone! i had many phones over the years but this one is the best i ever had! in being that i love taking pictures i love the crisp clear pictures i got the oyster color xoxo,Positive,Positive,0.9982876181602478,"['screen', 'camera', 'design', 'audio']",4,,,,,Positive,0.9937688112258911,Positive,0.9937688112258911,,,Positive,0.9937688112258911,Positive,0.9937688112258911,,,,,,
107,my daughter is in love with this. thanks.,Positive,Positive,0.9982377290725708,[],0,,,,,,,,,,,,,,,,,,,,
108,"great phone. came as promised, brand new in box with all accessories, and unlocked.",Positive,Positive,0.9989253878593445,[],0,,,,,,,,,,,,,,,,,,,,
109,i love my new i phone.,Positive,Positive,0.9963739514350891,[],0,,,,,,,,,,,,,,,,,,,,
110,it even came with a free 128g sd card.,Positive,Positive,0.9413478970527649,['storage'],1,,,,,,,,,,,,,,,,,,,Positive,0.9328780174255371
111,like very much,Positive,Positive,0.9975488781929016,[],0,,,,,,,,,,,,,,,,,,,,
112,this is a great fully unlocked phone. my uncles wife and daughters liked this phone a lot in reasonable price.,Positive,Positive,0.997696578502655,['price'],1,,,,,,,,,,,,,,,Positive,0.9953972697257996,,,,
113,"horrible!! died before it even made it to two weeks, worst phone ever! thanks for screwing me.",Negative,Negative,0.9974880218505859,['battery'],1,Negative,0.9964444041252136,,,,,,,,,,,,,,,,,,
114,works well for what we need and expected.,Positive,Positive,0.994694173336029,['performance'],1,,,Positive,0.994668185710907,,,,,,,,,,,,,,,,
115,i like the processing speed of the phone.,Positive,Positive,0.992529571056366,['performance'],1,,,Positive,0.9934296011924744,,,,,,,,,,,,,,,,
116,"excelente el tiempo de envio y producto sellado y nuevo, recomendable",Positive,Positive,0.9990257024765015,[],0,,,,,,,,,,,,,,,,,,,,
117,got the phone as a spare and when it came time to using it i got a sim card and tried to active it. verizon said it must be a bad sim card and sent me another one. after that one did not work they sai,Negative,Negative,0.9822797179222107,['performance'],1,,,Negative,0.9648846983909607,,,,,,,,,,,,,,,,
118,this phone is a hunk of plastic that has a hard time with basic functions. apps? good luck. even apps that came preinstalled hardly work. this phone also features the dumbest notification. it sends yo,Negative,Negative,0.9921042919158936,"['screen', 'performance', 'audio', 'signal']",4,,,Negative,0.9548959136009216,,,Positive,0.8425840139389038,,,,,Negative,0.6940722465515137,,,Positive,0.9047433137893677,,
119,no battery included.,Negative,Negative,0.9453761577606201,['battery'],1,Negative,0.9053691029548645,,,,,,,,,,,,,,,,,,
120,"i got this because my wife destroys a phone every 12 months. did not want to pay a lot for something that would end up broke. i got the phone and it was apparent this was not ""quality tested."" i buy a",Negative,Negative,0.8001832962036133,"['battery', 'screen', 'camera', 'performance', 'design', 'price', 'durability', 'storage']",8,Negative,0.970280110836029,Negative,0.8629838824272156,Positive,0.908375084400177,,,Negative,0.9590169787406921,Negative,0.989046037197113,Negative,0.9630782604217529,Negative,0.6765542030334473,,,Negative,0.8584773540496826
121,i have been using the phone for about 3 months. it works so well 😊 and it has best camera that can amazing things (if u install google camera),Positive,Positive,0.9975395202636719,"['camera', 'performance']",2,,,Positive,0.9982960820198059,,,,,,,Positive,0.9982960820198059,,,,,,,,
122,"barely any signs of use. no scratches or blemishes. functions as a galaxy 7, on verizon network, should...fast and great picture. i wish the battery life was better but a portable power pack solves th",Positive,Positive,0.9970302581787109,"['battery', 'camera', 'performance', 'design', 'price', 'signal']",6,Positive,0.9736995100975037,Positive,0.9986371397972107,Positive,0.9535090923309326,,,,,Positive,0.9986371397972107,,,Positive,0.99769127368927,Positive,0.9844204783439636,,
123,"for the price, it lacks nothing. the ai could be a little better and i wished the camera remembered my settings to always use the 48 mp camera but other than that it is smooth, fast, and affordable.",Positive,Positive,0.9854487776756287,"['camera', 'performance', 'price']",3,,,Neutral,0.9921343326568604,,,,,,,Neutral,0.9921343326568604,,,Neutral,0.9870216250419617,,,,
124,yes phone great but a new battery had to be purchased due to it would not hold charge,Positive,Positive,0.7599633932113647,"['battery', 'design']",2,Negative,0.7599633932113647,,,Negative,0.7599633932113647,,,,,,,,,,,,,,
125,it arrived on time and had absolutely no scratches! it was just like new!,Positive,Positive,0.9992097616195679,[],0,,,,,,,,,,,,,,,,,,,,
